,price,Date
3566,3.98,2010-09-14
3567,4.06,2010-09-15
3568,4.09,2010-09-16
3569,4.11,2010-09-17
3570,4.01,2010-09-20
3571,3.95,2010-09-21
3572,4.02,2010-09-22
3573,4.08,2010-09-23
3574,3.97,2010-09-24
3575,3.8,2010-09-27
3576,3.8,2010-09-28
3577,3.81,2010-09-29
3578,3.85,2010-09-30
3579,3.67,2010-10-01
3580,3.56,2010-10-04
3581,3.51,2010-10-05
3582,3.56,2010-10-06
3583,3.62,2010-10-07
3584,3.36,2010-10-08
3585,3.43,2010-10-11
3586,3.4,2010-10-12
3587,3.58,2010-10-13
3588,3.58,2010-10-14
3589,3.47,2010-10-15
3590,3.36,2010-10-18
3591,3.36,2010-10-19
3592,3.46,2010-10-20
3593,3.46,2010-10-21
3594,3.19,2010-10-22
3595,3.18,2010-10-25
3596,3.28,2010-10-26
3597,3.37,2010-10-27
3598,3.36,2010-10-28
3599,3.36,2010-10-29
3600,3.42,2010-11-01
3601,3.2,2010-11-02
3602,3.35,2010-11-03
3603,3.53,2010-11-04
3604,3.47,2010-11-05
3605,3.49,2010-11-08
3606,3.76,2010-11-09
3607,4.0,2010-11-10
3608,3.73,2010-11-11
3609,3.5,2010-11-12
3610,3.56,2010-11-15
3611,3.66,2010-11-16
3612,3.77,2010-11-17
3613,3.89,2010-11-18
3614,3.79,2010-11-19
3615,4.02,2010-11-22
3616,3.93,2010-11-23
3617,3.82,2010-11-24
3618,not available,2010-11-25
3619,3.82,2010-11-26
3620,4.12,2010-11-29
3621,4.16,2010-11-30
3622,4.21,2010-12-01
3623,4.28,2010-12-02
3624,4.23,2010-12-03
3625,4.47,2010-12-06
3626,4.48,2010-12-07
3627,4.47,2010-12-08
3628,4.52,2010-12-09
3629,4.37,2010-12-10
3630,4.55,2010-12-13
3631,4.35,2010-12-14
3632,4.22,2010-12-15
3633,4.19,2010-12-16
3634,3.99,2010-12-17
3635,4.1,2010-12-20
3636,4.17,2010-12-21
3637,4.01,2010-12-22
3638,4.08,2010-12-23
3639,not available,2010-12-24
3640,4.05,2010-12-27
3641,4.1,2010-12-28
3642,4.19,2010-12-29
3643,4.22,2010-12-30
3644,4.22,2010-12-31
3645,4.54,2011-01-03
3646,4.61,2011-01-04
3647,4.52,2011-01-05
3648,4.49,2011-01-06
3649,4.42,2011-01-07
3650,4.49,2011-01-10
3651,4.42,2011-01-11
3652,4.55,2011-01-12
3653,4.48,2011-01-13
3654,4.38,2011-01-14
3655,not available,2011-01-17
3656,4.52,2011-01-18
3657,4.48,2011-01-19
3658,4.57,2011-01-20
3659,4.72,2011-01-21
3660,4.72,2011-01-24
3661,4.46,2011-01-25
3662,4.4,2011-01-26
3663,4.41,2011-01-27
3664,4.27,2011-01-28
3665,4.42,2011-01-31
3666,4.42,2011-02-01
3667,4.55,2011-02-02
3668,4.69,2011-02-03
3669,4.48,2011-02-04
3670,4.32,2011-02-07
3671,4.24,2011-02-08
3672,4.22,2011-02-09
3673,4.11,2011-02-10
3674,3.96,2011-02-11
3675,3.89,2011-02-14
3676,3.92,2011-02-15
3677,3.93,2011-02-16
3678,3.9,2011-02-17
3679,3.84,2011-02-18
3680,not available,2011-02-21
3681,3.89,2011-02-22
3682,3.83,2011-02-23
3683,3.83,2011-02-24
3684,3.81,2011-02-25
3685,3.93,2011-02-28
3686,3.93,2011-03-01
3687,3.79,2011-03-02
3688,3.75,2011-03-03
3689,3.7,2011-03-04
3690,3.73,2011-03-07
3691,3.83,2011-03-08
3692,3.81,2011-03-09
3693,3.87,2011-03-10
3694,3.78,2011-03-11
3695,3.9,2011-03-14
3696,3.81,2011-03-15
3697,3.86,2011-03-16
3698,3.85,2011-03-17
3699,3.98,2011-03-18
3700,3.99,2011-03-21
3701,4.05,2011-03-22
3702,4.18,2011-03-23
3703,4.27,2011-03-24
3704,4.13,2011-03-25
3705,4.35,2011-03-28
3706,4.27,2011-03-29
3707,4.25,2011-03-30
3708,4.32,2011-03-31
3709,4.32,2011-04-01
3710,4.21,2011-04-04
3711,4.22,2011-04-05
3712,4.17,2011-04-06
3713,4.12,2011-04-07
3714,4.05,2011-04-08
3715,4.05,2011-04-11
3716,4.08,2011-04-12
3717,4.14,2011-04-13
3718,4.12,2011-04-14
3719,4.21,2011-04-15
3720,4.23,2011-04-18
3721,4.19,2011-04-19
3722,4.33,2011-04-20
3723,4.33,2011-04-21
3724,not available,2011-04-22
3725,4.37,2011-04-25
3726,4.32,2011-04-26
3727,4.35,2011-04-27
3728,4.38,2011-04-28
3729,4.51,2011-04-29
3730,4.6,2011-05-02
3731,4.6,2011-05-03
3732,4.59,2011-05-04
3733,4.49,2011-05-05
3734,4.24,2011-05-06
3735,4.28,2011-05-09
3736,4.19,2011-05-10
3737,4.23,2011-05-11
3738,4.1,2011-05-12
3739,4.09,2011-05-13
3740,4.21,2011-05-16
3741,4.25,2011-05-17
3742,4.15,2011-05-18
3743,4.1,2011-05-19
3744,4.05,2011-05-20
3745,4.27,2011-05-23
3746,4.37,2011-05-24
3747,4.36,2011-05-25
3748,4.37,2011-05-26
3749,4.36,2011-05-27
3750,not available,2011-05-30
3751,4.63,2011-05-31
3752,4.62,2011-06-01
3753,4.64,2011-06-02
3754,4.72,2011-06-03
3755,4.83,2011-06-06
3756,4.83,2011-06-07
3757,4.83,2011-06-08
3758,4.92,2011-06-09
3759,4.72,2011-06-10
3760,4.75,2011-06-13
3761,4.59,2011-06-14
3762,4.53,2011-06-15
3763,4.54,2011-06-16
3764,4.39,2011-06-17
3765,4.33,2011-06-20
3766,4.37,2011-06-21
3767,4.42,2011-06-22
3768,4.31,2011-06-23
3769,4.2,2011-06-24
3770,4.25,2011-06-27
3771,4.34,2011-06-28
3772,4.4,2011-06-29
3773,4.28,2011-06-30
3774,4.33,2011-07-01
3775,not available,2011-07-04
3776,4.4,2011-07-05
3777,4.34,2011-07-06
3778,4.25,2011-07-07
3779,4.19,2011-07-08
3780,4.35,2011-07-11
3781,4.38,2011-07-12
3782,4.43,2011-07-13
3783,4.42,2011-07-14
3784,4.49,2011-07-15
3785,4.6,2011-07-18
3786,4.6,2011-07-19
3787,4.64,2011-07-20
3788,4.58,2011-07-21
3789,4.46,2011-07-22
3790,4.45,2011-07-25
3791,4.43,2011-07-26
3792,4.46,2011-07-27
3793,4.41,2011-07-28
3794,4.26,2011-07-29
3795,4.29,2011-08-01
3796,4.3,2011-08-02
3797,4.26,2011-08-03
3798,4.2,2011-08-04
3799,4.0,2011-08-05
3800,4.0,2011-08-08
3801,4.06,2011-08-09
3802,4.09,2011-08-10
3803,4.06,2011-08-11
3804,4.17,2011-08-12
3805,4.05,2011-08-15
3806,4.03,2011-08-16
3807,3.98,2011-08-17
3808,3.98,2011-08-18
3809,3.99,2011-08-19
3810,3.97,2011-08-22
3811,4.01,2011-08-23
3812,4.1,2011-08-24
3813,4.01,2011-08-25
3814,3.96,2011-08-26
3815,3.93,2011-08-29
3816,3.85,2011-08-30
3817,3.97,2011-08-31
3818,4.18,2011-09-01
3819,4.12,2011-09-02
3820,not available,2011-09-05
3821,3.93,2011-09-06
3822,3.96,2011-09-07
3823,3.99,2011-09-08
3824,3.96,2011-09-09
3825,3.92,2011-09-12
3826,3.96,2011-09-13
3827,4.01,2011-09-14
3828,4.04,2011-09-15
3829,3.84,2011-09-16
3830,3.78,2011-09-19
3831,3.84,2011-09-20
3832,3.78,2011-09-21
3833,3.72,2011-09-22
3834,3.74,2011-09-23
3835,3.8,2011-09-26
3836,3.92,2011-09-27
3837,3.88,2011-09-28
3838,3.77,2011-09-29
3839,3.68,2011-09-30
3840,3.57,2011-10-03
3841,3.56,2011-10-04
3842,3.63,2011-10-05
3843,3.49,2011-10-06
3844,3.4,2011-10-07
3845,3.41,2011-10-10
3846,3.52,2011-10-11
3847,3.54,2011-10-12
3848,3.42,2011-10-13
3849,3.49,2011-10-14
3850,3.72,2011-10-17
3851,3.63,2011-10-18
3852,3.59,2011-10-19
3853,3.61,2011-10-20
3854,3.54,2011-10-21
3855,3.61,2011-10-24
3856,3.62,2011-10-25
3857,3.65,2011-10-26
3858,3.59,2011-10-27
3859,3.63,2011-10-28
3860,3.66,2011-10-31
3861,3.49,2011-11-01
3862,3.39,2011-11-02
3863,3.39,2011-11-03
3864,3.44,2011-11-04
3865,3.35,2011-11-07
3866,3.42,2011-11-08
3867,3.55,2011-11-09
3868,3.48,2011-11-10
3869,3.29,2011-11-11
3870,3.17,2011-11-14
3871,3.12,2011-11-15
3872,3.11,2011-11-16
3873,3.11,2011-11-17
3874,3.01,2011-11-18
3875,2.94,2011-11-21
3876,3.06,2011-11-22
3877,2.84,2011-11-23
3878,not available,2011-11-24
3879,2.84,2011-11-25
3880,3.09,2011-11-28
3881,3.39,2011-11-29
3882,3.53,2011-11-30
3883,3.49,2011-12-01
3884,3.35,2011-12-02
3885,3.38,2011-12-05
3886,3.43,2011-12-06
3887,3.45,2011-12-07
3888,3.42,2011-12-08
3889,3.29,2011-12-09
3890,3.13,2011-12-12
3891,3.12,2011-12-13
3892,3.08,2011-12-14
3893,3.05,2011-12-15
3894,3.01,2011-12-16
3895,3.03,2011-12-19
3896,3.06,2011-12-20
3897,3.05,2011-12-21
3898,3.08,2011-12-22
3899,2.97,2011-12-23
3900,not available,2011-12-26
3901,3.09,2011-12-27
3902,3.07,2011-12-28
3903,3.03,2011-12-29
3904,2.98,2011-12-30
3905,not available,2012-01-02
3906,2.97,2012-01-03
3907,2.96,2012-01-04
3908,2.91,2012-01-05
3909,2.85,2012-01-06
3910,2.89,2012-01-09
3911,2.97,2012-01-10
3912,2.81,2012-01-11
3913,2.7,2012-01-12
3914,2.67,2012-01-13
3915,not available,2012-01-16
3916,2.51,2012-01-17
3917,2.49,2012-01-18
3918,2.36,2012-01-19
3919,2.23,2012-01-20
3920,2.39,2012-01-23
3921,2.6,2012-01-24
3922,2.61,2012-01-25
3923,2.68,2012-01-26
3924,2.59,2012-01-27
3925,2.71,2012-01-30
3926,2.51,2012-01-31
3927,2.32,2012-02-01
3928,2.3,2012-02-02
3929,2.4,2012-02-03
3930,2.46,2012-02-06
3931,2.6,2012-02-07
3932,2.48,2012-02-08
3933,2.5,2012-02-09
3934,2.51,2012-02-10
3935,2.42,2012-02-13
3936,2.48,2012-02-14
3937,2.54,2012-02-15
3938,2.47,2012-02-16
3939,2.67,2012-02-17
3940,not available,2012-02-20
3941,2.63,2012-02-21
3942,2.6,2012-02-22
3943,2.68,2012-02-23
3944,2.6,2012-02-24
3945,2.55,2012-02-27
3946,2.44,2012-02-28
3947,2.44,2012-02-29
3948,2.45,2012-03-01
3949,2.38,2012-03-02
3950,2.31,2012-03-05
3951,2.3,2012-03-06
3952,2.24,2012-03-07
3953,2.24,2012-03-08
3954,2.21,2012-03-09
3955,2.17,2012-03-12
3956,2.15,2012-03-13
3957,2.13,2012-03-14
3958,2.07,2012-03-15
3959,2.01,2012-03-16
3960,2.14,2012-03-19
3961,2.19,2012-03-20
3962,2.21,2012-03-21
3963,2.19,2012-03-22
3964,2.07,2012-03-23
3965,2.16,2012-03-26
3966,2.09,2012-03-27
3967,2.05,2012-03-28
3968,2.02,2012-03-29
3969,2.0,2012-03-30
3970,1.88,2012-04-02
3971,1.94,2012-04-03
3972,2.06,2012-04-04
3973,1.98,2012-04-05
3974,not available,2012-04-06
3975,1.99,2012-04-09
3976,1.99,2012-04-10
3977,1.91,2012-04-11
3978,1.87,2012-04-12
3979,1.87,2012-04-13
3980,1.88,2012-04-16
3981,1.89,2012-04-17
3982,1.87,2012-04-18
3983,1.85,2012-04-19
3984,1.82,2012-04-20
3985,1.89,2012-04-23
3986,1.97,2012-04-24
3987,1.99,2012-04-25
3988,2.1,2012-04-26
3989,2.05,2012-04-27
3990,2.1,2012-04-30
3991,2.29,2012-05-01
3992,2.31,2012-05-02
3993,2.29,2012-05-03
3994,2.3,2012-05-04
3995,2.3,2012-05-07
3996,2.27,2012-05-08
3997,2.36,2012-05-09
3998,2.36,2012-05-10
3999,2.37,2012-05-11
4000,2.41,2012-05-14
4001,2.38,2012-05-15
4002,2.5,2012-05-16
4003,2.6,2012-05-17
4004,2.56,2012-05-18
4005,2.6,2012-05-21
4006,2.55,2012-05-22
4007,2.6,2012-05-23
4008,2.66,2012-05-24
4009,2.56,2012-05-25
4010,not available,2012-05-28
4011,2.5,2012-05-29
4012,2.39,2012-05-30
4013,2.34,2012-05-31
4014,2.24,2012-06-01
4015,2.32,2012-06-04
4016,2.39,2012-06-05
4017,2.41,2012-06-06
4018,2.33,2012-06-07
4019,2.22,2012-06-08
4020,2.22,2012-06-11
4021,2.17,2012-06-12
4022,2.18,2012-06-13
4023,2.2,2012-06-14
4024,2.44,2012-06-15
4025,2.45,2012-06-18
4026,2.59,2012-06-19
4027,2.6,2012-06-20
4028,2.48,2012-06-21
4029,2.5,2012-06-22
4030,2.7,2012-06-25
4031,2.7,2012-06-26
4032,2.87,2012-06-27
4033,2.81,2012-06-28
4034,2.74,2012-06-29
4035,2.73,2012-07-02
4036,2.78,2012-07-03
4037,not available,2012-07-04
4038,2.9,2012-07-05
4039,2.94,2012-07-06
4040,2.79,2012-07-09
4041,2.87,2012-07-10
4042,2.72,2012-07-11
4043,2.83,2012-07-12
4044,2.88,2012-07-13
4045,2.92,2012-07-16
4046,2.83,2012-07-17
4047,2.84,2012-07-18
4048,2.99,2012-07-19
4049,3.03,2012-07-20
4050,3.05,2012-07-23
4051,3.16,2012-07-24
4052,3.19,2012-07-25
4053,3.13,2012-07-26
4054,3.1,2012-07-27
4055,3.14,2012-07-30
4056,3.2,2012-07-31
4057,3.2,2012-08-01
4058,3.16,2012-08-02
4059,2.91,2012-08-03
4060,2.9,2012-08-06
4061,2.99,2012-08-07
4062,2.97,2012-08-08
4063,2.89,2012-08-09
4064,2.84,2012-08-10
4065,2.77,2012-08-13
4066,2.79,2012-08-14
4067,2.82,2012-08-15
4068,2.78,2012-08-16
4069,2.7,2012-08-17
4070,2.75,2012-08-20
4071,2.8,2012-08-21
4072,2.8,2012-08-22
4073,2.81,2012-08-23
4074,2.81,2012-08-24
4075,2.8,2012-08-27
4076,2.71,2012-08-28
4077,2.64,2012-08-29
4078,2.72,2012-08-30
4079,2.72,2012-08-31
4080,not available,2012-09-03
4081,2.81,2012-09-04
4082,2.87,2012-09-05
4083,2.85,2012-09-06
4084,2.73,2012-09-07
4085,2.66,2012-09-10
4086,2.82,2012-09-11
4087,2.96,2012-09-12
4088,3.01,2012-09-13
4089,2.94,2012-09-14
4090,2.83,2012-09-17
4091,2.74,2012-09-18
4092,2.7,2012-09-19
4093,2.76,2012-09-20
4094,2.76,2012-09-21
4095,2.82,2012-09-24
4096,2.84,2012-09-25
4097,2.92,2012-09-26
4098,3.01,2012-09-27
4099,3.08,2012-09-28
4100,3.19,2012-10-01
4101,3.21,2012-10-02
4102,3.21,2012-10-03
4103,3.23,2012-10-04
4104,3.26,2012-10-05
4105,3.18,2012-10-08
4106,3.18,2012-10-09
4107,3.26,2012-10-10
4108,3.28,2012-10-11
4109,3.38,2012-10-12
4110,3.35,2012-10-15
4111,3.27,2012-10-16
4112,3.24,2012-10-17
4113,3.28,2012-10-18
4114,3.43,2012-10-19
4115,3.49,2012-10-22
4116,3.34,2012-10-23
4117,3.43,2012-10-24
4118,3.39,2012-10-25
4119,3.38,2012-10-26
4120,3.4,2012-10-29
4121,3.42,2012-10-30
4122,3.5,2012-10-31
4123,3.5,2012-11-01
4124,3.4,2012-11-02
4125,3.34,2012-11-05
4126,3.41,2012-11-06
4127,3.47,2012-11-07
4128,3.45,2012-11-08
4129,3.33,2012-11-09
4130,3.4,2012-11-12
4131,3.57,2012-11-13
4132,3.66,2012-11-14
4133,3.63,2012-11-15
4134,3.46,2012-11-16
4135,3.63,2012-11-19
4136,3.62,2012-11-20
4137,3.59,2012-11-21
4138,not available,2012-11-22
4139,3.59,2012-11-23
4140,3.75,2012-11-26
4141,3.77,2012-11-27
4142,3.71,2012-11-28
4143,3.61,2012-11-29
4144,3.46,2012-11-30
4145,3.44,2012-12-03
4146,3.38,2012-12-04
4147,3.41,2012-12-05
4148,3.48,2012-12-06
4149,3.33,2012-12-07
4150,3.35,2012-12-10
4151,3.39,2012-12-11
4152,3.33,2012-12-12
4153,3.27,2012-12-13
4154,3.15,2012-12-14
4155,3.2,2012-12-17
4156,3.29,2012-12-18
4157,3.25,2012-12-19
4158,3.35,2012-12-20
4159,3.42,2012-12-21
4160,3.3,2012-12-24
4161,not available,2012-12-25
4162,3.35,2012-12-26
4163,3.31,2012-12-27
4164,3.4,2012-12-28
4165,3.43,2012-12-31
4166,not available,2013-01-01
4167,3.3,2013-01-02
4168,3.19,2013-01-03
4169,3.2,2013-01-04
4170,3.3,2013-01-07
4171,3.21,2013-01-08
4172,3.14,2013-01-09
4173,3.08,2013-01-10
4174,3.18,2013-01-11
4175,3.39,2013-01-14
4176,3.4,2013-01-15
4177,3.43,2013-01-16
4178,3.44,2013-01-17
4179,3.54,2013-01-18
4180,not available,2013-01-21
4181,3.63,2013-01-22
4182,3.53,2013-01-23
4183,3.56,2013-01-24
4184,3.42,2013-01-25
4185,3.25,2013-01-28
4186,3.14,2013-01-29
4187,3.24,2013-01-30
4188,3.33,2013-01-31
4189,3.34,2013-02-01
4190,3.27,2013-02-04
4191,3.34,2013-02-05
4192,3.41,2013-02-06
4193,3.39,2013-02-07
4194,3.26,2013-02-08
4195,3.2,2013-02-11
4196,3.3,2013-02-12
4197,3.29,2013-02-13
4198,3.3,2013-02-14
4199,3.19,2013-02-15
4200,not available,2013-02-18
4201,3.23,2013-02-19
4202,3.34,2013-02-20
4203,3.29,2013-02-21
4204,3.27,2013-02-22
4205,3.42,2013-02-25
4206,3.46,2013-02-26
4207,3.49,2013-02-27
4208,3.48,2013-02-28
4209,3.54,2013-03-01
4210,3.53,2013-03-04
4211,3.63,2013-03-05
4212,3.57,2013-03-06
4213,3.54,2013-03-07
4214,3.57,2013-03-08
4215,3.64,2013-03-11
4216,3.71,2013-03-12
4217,3.72,2013-03-13
4218,3.74,2013-03-14
4219,3.89,2013-03-15
4220,3.98,2013-03-18
4221,3.96,2013-03-19
4222,3.97,2013-03-20
4223,4.01,2013-03-21
4224,4.01,2013-03-22
4225,4.08,2013-03-25
4226,3.99,2013-03-26
4227,4.08,2013-03-27
4228,4.03,2013-03-28
4229,not available,2013-03-29
4230,3.97,2013-04-01
4231,4.07,2013-04-02
4232,4.0,2013-04-03
4233,3.94,2013-04-04
4234,3.98,2013-04-05
4235,4.18,2013-04-08
4236,4.08,2013-04-09
4237,4.07,2013-04-10
4238,4.11,2013-04-11
4239,4.21,2013-04-12
4240,4.23,2013-04-15
4241,4.19,2013-04-16
4242,4.24,2013-04-17
4243,4.23,2013-04-18
4244,4.38,2013-04-19
4245,4.33,2013-04-22
4246,4.27,2013-04-23
4247,4.25,2013-04-24
4248,4.19,2013-04-25
4249,4.16,2013-04-26
4250,4.28,2013-04-29
4251,4.3,2013-04-30
4252,4.31,2013-05-01
4253,4.28,2013-05-02
4254,3.98,2013-05-03
4255,3.93,2013-05-06
4256,3.88,2013-05-07
4257,3.86,2013-05-08
4258,3.87,2013-05-09
4259,3.9,2013-05-10
4260,3.87,2013-05-13
4261,3.93,2013-05-14
4262,4.03,2013-05-15
4263,4.01,2013-05-16
4264,3.89,2013-05-17
4265,4.1,2013-05-20
4266,4.13,2013-05-21
4267,4.16,2013-05-22
4268,4.15,2013-05-23
4269,4.15,2013-05-24
4270,not available,2013-05-27
4271,4.19,2013-05-28
4272,4.15,2013-05-29
4273,4.12,2013-05-30
4274,4.02,2013-05-31
4275,4.0,2013-06-03
4276,4.0,2013-06-04
4277,3.99,2013-06-05
4278,3.93,2013-06-06
4279,3.79,2013-06-07
4280,3.85,2013-06-10
4281,3.77,2013-06-11
4282,3.74,2013-06-12
4283,3.73,2013-06-13
4284,3.76,2013-06-14
4285,3.78,2013-06-17
4286,3.9,2013-06-18
4287,3.93,2013-06-19
4288,3.9,2013-06-20
4289,3.85,2013-06-21
4290,3.81,2013-06-24
4291,3.77,2013-06-25
4292,3.72,2013-06-26
4293,3.73,2013-06-27
4294,3.57,2013-06-28
4295,3.52,2013-07-01
4296,3.58,2013-07-02
4297,3.54,2013-07-03
4298,not available,2013-07-04
4299,3.52,2013-07-05
4300,3.65,2013-07-08
4301,3.69,2013-07-09
4302,3.69,2013-07-10
4303,3.64,2013-07-11
4304,3.61,2013-07-12
4305,3.67,2013-07-15
4306,3.69,2013-07-16
4307,3.67,2013-07-17
4308,3.66,2013-07-18
4309,3.78,2013-07-19
4310,3.71,2013-07-22
4311,3.68,2013-07-23
4312,3.7,2013-07-24
4313,3.68,2013-07-25
4314,3.59,2013-07-26
4315,3.49,2013-07-29
4316,3.48,2013-07-30
4317,3.46,2013-07-31
4318,3.44,2013-08-01
4319,3.39,2013-08-02
4320,3.33,2013-08-05
4321,3.35,2013-08-06
4322,3.32,2013-08-07
4323,3.27,2013-08-08
4324,3.32,2013-08-09
4325,3.34,2013-08-12
4326,3.34,2013-08-13
4327,3.36,2013-08-14
4328,3.34,2013-08-15
4329,3.35,2013-08-16
4330,3.46,2013-08-19
4331,3.48,2013-08-20
4332,3.51,2013-08-21
4333,3.52,2013-08-22
4334,3.5,2013-08-23
4335,3.55,2013-08-26
4336,3.5,2013-08-27
4337,3.54,2013-08-28
4338,3.58,2013-08-29
4339,3.57,2013-08-30
4340,not available,2013-09-02
4341,3.64,2013-09-03
4342,3.68,2013-09-04
4343,3.7,2013-09-05
4344,3.55,2013-09-06
4345,3.62,2013-09-09
4346,3.65,2013-09-10
4347,3.6,2013-09-11
4348,3.57,2013-09-12
4349,3.6,2013-09-13
4350,3.64,2013-09-16
4351,3.77,2013-09-17
4352,3.72,2013-09-18
4353,3.73,2013-09-19
4354,3.68,2013-09-20
4355,3.66,2013-09-23
4356,3.59,2013-09-24
4357,3.52,2013-09-25
4358,3.49,2013-09-26
4359,3.51,2013-09-27
4360,3.48,2013-09-30
4361,3.56,2013-10-01
4362,3.63,2013-10-02
4363,3.58,2013-10-03
4364,3.57,2013-10-04
4365,3.62,2013-10-07
4366,3.72,2013-10-08
4367,3.7,2013-10-09
4368,3.74,2013-10-10
4369,3.74,2013-10-11
4370,3.82,2013-10-14
4371,3.83,2013-10-15
4372,3.84,2013-10-16
4373,3.75,2013-10-17
4374,3.72,2013-10-18
4375,3.77,2013-10-21
4376,3.7,2013-10-22
4377,3.66,2013-10-23
4378,3.65,2013-10-24
4379,3.69,2013-10-25
4380,3.61,2013-10-28
4381,3.57,2013-10-29
4382,3.55,2013-10-30
4383,3.57,2013-10-31
4384,3.45,2013-11-01
4385,3.38,2013-11-04
4386,3.37,2013-11-05
4387,3.46,2013-11-06
4388,3.59,2013-11-07
4389,3.54,2013-11-08
4390,3.62,2013-11-11
4391,3.69,2013-11-12
4392,3.69,2013-11-13
4393,3.52,2013-11-14
4394,3.56,2013-11-15
4395,3.71,2013-11-18
4396,3.63,2013-11-19
4397,3.63,2013-11-20
4398,3.68,2013-11-21
4399,3.78,2013-11-22
4400,3.85,2013-11-25
4401,3.87,2013-11-26
4402,3.87,2013-11-27
4403,not available,2013-11-28
4404,3.87,2013-11-29
4405,3.85,2013-12-02
4406,3.84,2013-12-03
4407,3.89,2013-12-04
4408,3.97,2013-12-05
4409,4.15,2013-12-06
4410,4.24,2013-12-09
4411,4.24,2013-12-10
4412,4.24,2013-12-11
4413,4.4,2013-12-12
4414,4.44,2013-12-13
4415,4.21,2013-12-16
4416,4.2,2013-12-17
4417,4.25,2013-12-18
4418,4.25,2013-12-19
4419,4.35,2013-12-20
4420,4.52,2013-12-23
4421,4.52,2013-12-24
4422,not available,2013-12-25
4423,4.4,2013-12-26
4424,4.34,2013-12-27
4425,4.41,2013-12-30
4426,4.31,2013-12-31
4427,not available,2014-01-01
4428,4.32,2014-01-02
4429,4.39,2014-01-03
4430,4.5,2014-01-06
4431,4.58,2014-01-07
4432,4.36,2014-01-08
4433,4.15,2014-01-09
4434,3.95,2014-01-10
4435,4.19,2014-01-13
4436,4.36,2014-01-14
4437,4.45,2014-01-15
4438,4.55,2014-01-16
4439,4.39,2014-01-17
4440,not available,2014-01-20
4441,4.61,2014-01-21
4442,4.92,2014-01-22
4443,5.64,2014-01-23
4444,5.17,2014-01-24
4445,5.66,2014-01-27
4446,5.25,2014-01-28
4447,5.23,2014-01-29
4448,5.27,2014-01-30
4449,5.04,2014-01-31
4450,5.04,2014-02-03
4451,5.78,2014-02-04
4452,8.12,2014-02-05
4453,6.9,2014-02-06
4454,5.92,2014-02-07
4455,8.15,2014-02-10
4456,7.75,2014-02-11
4457,5.96,2014-02-12
4458,5.34,2014-02-13
4459,5.54,2014-02-14
4460,not available,2014-02-17
4461,5.8,2014-02-18
4462,6.0,2014-02-19
4463,5.96,2014-02-20
4464,6.24,2014-02-21
4465,6.08,2014-02-24
4466,5.21,2014-02-25
4467,4.81,2014-02-26
4468,4.61,2014-02-27
4469,4.8,2014-02-28
4470,7.09,2014-03-03
4471,7.98,2014-03-04
4472,6.46,2014-03-05
4473,4.89,2014-03-06
4474,4.78,2014-03-07
4475,4.67,2014-03-10
4476,4.67,2014-03-11
4477,4.72,2014-03-12
4478,4.41,2014-03-13
4479,4.4,2014-03-14
4480,4.57,2014-03-17
4481,4.42,2014-03-18
4482,4.43,2014-03-19
4483,4.39,2014-03-20
4484,4.33,2014-03-21
4485,4.42,2014-03-24
4486,4.53,2014-03-25
4487,4.44,2014-03-26
4488,4.39,2014-03-27
4489,4.5,2014-03-28
4490,4.48,2014-03-31
4491,4.39,2014-04-01
4492,4.39,2014-04-02
4493,4.51,2014-04-03
4494,4.49,2014-04-04
4495,4.58,2014-04-07
4496,4.57,2014-04-08
4497,4.67,2014-04-09
4498,4.67,2014-04-10
4499,4.67,2014-04-11
4500,4.64,2014-04-14
4501,4.69,2014-04-15
4502,4.64,2014-04-16
4503,4.64,2014-04-17
4504,not available,2014-04-18
4505,4.76,2014-04-21
4506,4.76,2014-04-22
4507,4.81,2014-04-23
4508,4.81,2014-04-24
4509,4.83,2014-04-25
4510,4.72,2014-04-28
4511,4.78,2014-04-29
4512,4.79,2014-04-30
4513,4.79,2014-05-01
4514,4.73,2014-05-02
4515,4.73,2014-05-05
4516,4.8,2014-05-06
4517,4.82,2014-05-07
4518,4.77,2014-05-08
4519,4.59,2014-05-09
4520,4.52,2014-05-12
4521,4.47,2014-05-13
4522,4.47,2014-05-14
4523,4.42,2014-05-15
4524,4.42,2014-05-16
4525,4.54,2014-05-19
4526,4.53,2014-05-20
4527,4.57,2014-05-21
4528,4.57,2014-05-22
4529,4.4,2014-05-23
4530,not available,2014-05-26
4531,4.4,2014-05-27
4532,4.56,2014-05-28
4533,4.63,2014-05-29
4534,4.49,2014-05-30
4535,4.49,2014-06-02
4536,4.62,2014-06-03
4537,4.62,2014-06-04
4538,4.66,2014-06-05
4539,4.66,2014-06-06
4540,4.67,2014-06-09
4541,4.67,2014-06-10
4542,4.51,2014-06-11
4543,4.51,2014-06-12
4544,4.7,2014-06-13
4545,4.71,2014-06-16
4546,4.68,2014-06-17
4547,4.68,2014-06-18
4548,4.67,2014-06-19
4549,4.53,2014-06-20
4550,4.53,2014-06-23
4551,4.49,2014-06-24
4552,4.58,2014-06-25
4553,4.58,2014-06-26
4554,4.39,2014-06-27
4555,4.39,2014-06-30
4556,4.47,2014-07-01
4557,4.47,2014-07-02
4558,4.31,2014-07-03
4559,not available,2014-07-04
4560,4.31,2014-07-07
4561,4.18,2014-07-08
4562,4.17,2014-07-09
4563,4.15,2014-07-10
4564,4.13,2014-07-11
4565,4.13,2014-07-14
4566,4.13,2014-07-15
4567,4.16,2014-07-16
